Country,Temperature,Score
Afghanistan,13.37,2.523
Albania,12.44,5.117
Algeria,23.60,4.887
Argentina,15.11,5.929
Armenia,7.82,5.283
Australia,22.05,7.183
Austria,7.44,7.268
Azerbaijan,12.96,5.171
Bahrain,27.69,6.647
Bangladesh,25.71,5.025
Belarus,7.45,5.534
Belgium,10.67,6.834
Benin,28.02,5.045
Bolivia,20.76,5.716
Bosnia and Herzegovina,10.35,5.813
Botswana,22.09,3.467
Brazil,25.44,6.33
Bulgaria,11.35,5.266
Burkina Faso,29.26,4.834
Burundi,20.51,3.775
Cambodia,27.41,4.83
Cameroon,24.80,5.142
Canada,−4.03,7.103
Chad,27.63,4.355
Chile,9.39,6.172
China,7.59,5.339
Colombia,25.00,6.012
Comoros,23.73,4.289
Costa Rica,24.83,7.069
Croatia,11.96,5.882
Cyprus,18.95,6.223
Czech Republic,8.60,6.965
Denmark,8.90,7.62
Dominican Republic,24.55,5.545
Ecuador,21.43,5.764
Egypt,23.14,4.283
El Salvador,25.23,6.061
Estonia,6.34,6.189
Ethiopia,23.36,4.275
Finland,2.46,7.842
France,11.65,6.69
Gabon,25.20,4.852
Gambia,28.38,5.051
Georgia,9.01,4.891
Germany,9.59,7.155
Ghana,27.66,5.088
Greece,14.26,5.723
Guatemala,23.65,6.435
Guinea,25.86,4.984
Haiti,24.95,3.615
Honduras,24.72,5.919
Hungary,11.50,5.992
Iceland,1.85,7.554
India,24.94,3.819
Indonesia,25.96,5.345
Iran,18.34,4.721
Iraq,22.95,4.854
Ireland,9.73,7.085
Israel,19.99,7.157
Italy,13.22,6.483
Ivory Coast,26.80,5.306
Jamaica,25.91,6.309
Japan,11.78,5.94
Jordan,19.52,4.395
Kazakhstan,7.11,6.152
Kenya,25.08,4.607
Kosovo,10.02,6.372
Kuwait,26.31,6.106
Kyrgyzstan,2.65,5.744
Laos,24.16,5.03
Latvia,6.87,6.032
Lebanon,15.45,4.584
Lesotho,12.38,3.512
Liberia,25.45,4.625
Libya,22.81,5.41
Lithuania,7.38,6.255
Luxembourg,10.02,7.324
Madagascar,22.64,4.208
Malawi,22.66,3.6
Malaysia,26.38,5.384
Maldives,28.11,5.198
Mali,29.21,4.723
Malta,19.58,6.602
Mauritania,28.82,4.227
Mauritius,23.33,6.049
Mexico,21.31,6.317
Moldova,10.89,5.766
Mongolia,1.07,5.677
Montenegro,9.93,5.581
Morocco,18.14,4.918
Mozambique,24.41,4.794
Myanmar,23.82,4.426
Namibia,20.45,4.574
Nepal,14.17,5.269
Netherlands,10.49,7.464
New Zealand,10.46,7.277
Nicaragua,25.88,5.972
Niger,28.04,5.074
Nigeria,27.30,4.759
North Macedonia,10.79,5.101
Norway,2.21,7.392
Pakistan,21.38,4.934
Panama,25.60,6.18
Paraguay,23.92,5.653
Peru,19.72,5.84
Philippines,26.27,5.88
Poland,8.78,6.166
Portugal,15.85,5.929
Romania,10.18,6.14
Russia,−3.79,5.477
Rwanda,19.20,3.415
Saudi Arabia,25.94,6.494
Senegal,28.90,5.132
Serbia,11.40,6.078
Sierra Leone,26.54,3.849
Singapore,27.68,6.377
Slovakia,8.83,6.331
Slovenia,9.86,6.461
South Africa,18.23,4.956
South Korea,12.22,5.845
Spain,14.07,6.491
Sri Lanka,27.25,4.325
Sweden,3.23,7.363
Switzerland,6.47,7.571
Tajikistan,3.85,5.466
Tanzania,22.92,3.623
Thailand,26.85,5.985
Togo,27.33,4.107
Tunisia,20.53,4.596
Turkey,11.66,4.948
Turkmenistan,16.66,5.066
Uganda,23.25,4.636
Ukraine,9.27,4.875
United Arab Emirates,28.17,6.561
United Kingdom,9.24,7.064
United States,9.46,6.951
Uruguay,17.97,6.431
Uzbekistan,13.69,6.179
Venezuela,25.71,4.892
Vietnam,24.79,5.411
Yemen,25.54,3.658
Zambia,22.23,4.073
Zimbabwe,21.90,3.145
